Date;Open;High;Low;Close;Adj Close;Volume
22/01/2019;6.543233;6.568098;6.384761;6.523199;6.523199;31986617
23/01/2019;6.530526;6.573999;6.436419;6.541402;6.541402;33083575
24/01/2019;6.534355;6.541763;6.465994;6.505792;6.505792;26614401
25/01/2019;6.514755;6.799007;6.505509;6.737325;6.737325;43731936
26/01/2019;6.750314;7.039641;6.690683;7.006565;7.006565;48498979
27/01/2019;7.003060;7.246770;6.860904;7.088199;7.088199;52872347
28/01/2019;7.091497;7.189432;6.106819;6.206182;6.206182;82427200
29/01/2019;6.220346;6.314663;6.059685;6.181670;6.181670;49291811
30/01/2019;6.174735;6.219441;6.056818;6.174529;6.174529;41310644
31/01/2019;6.173159;6.333213;6.028731;6.268436;6.268436;52240451
01/02/2019;6.264142;6.648027;6.172295;6.562617;6.562617;56050947
02/02/2019;6.554346;6.891695;6.525021;6.891695;6.891695;56627089
03/02/2019;6.885941;6.920657;6.621789;6.738165;6.738165;59942158
04/02/2019;6.765826;7.173779;6.703909;7.100500;7.100500;71959989
05/02/2019;7.060620;7.914336;6.955159;7.819810;7.819810;96588397
06/02/2019;7.863149;8.466517;7.405838;8.086174;8.086174;118867601
07/02/2019;8.103447;8.428266;7.702507;7.730325;7.730325;86056681
08/02/2019;7.780721;8.828984;7.652212;8.575567;8.575567;103694036
09/02/2019;8.601719;8.931648;8.467873;8.871357;8.871357;106420119
10/02/2019;8.856160;9.337292;8.856160;9.211540;9.211540;125419865
11/02/2019;9.192381;9.824778;9.151557;9.551809;9.551809;136029624
12/02/2019;9.533523;9.748714;8.980687;9.341781;9.341781;123194872
13/02/2019;9.328230;9.328230;8.789261;8.941073;8.941073;95068052
14/02/2019;8.929620;9.067792;8.460005;8.782048;8.782048;72389547
15/02/2019;8.821605;9.508629;8.777353;9.273832;9.273832;83961438
16/02/2019;9.317526;9.337222;9.078147;9.129251;9.129251;65705040
17/02/2019;9.134310;9.219167;8.920140;9.216046;9.216046;66977126
18/02/2019;9.215029;9.744648;9.179193;9.634436;9.634436;79003060
19/02/2019;9.654717;11.109812;9.580958;10.563078;10.563078;128091178
20/02/2019;10.522627;11.323774;10.522627;10.966056;10.966056;118033473
21/02/2019;10.985795;10.985795;10.234242;10.492892;10.492892;85754656
22/02/2019;10.447696;10.989879;10.433596;10.837115;10.837115;82256314
23/02/2019;10.823094;10.865765;10.458562;10.781801;10.781801;81628102
24/02/2019;10.797889;11.085546;9.623884;10.113093;10.113093;113588899
25/02/2019;10.065574;10.290170;9.544575;9.842012;9.842012;146043498
26/02/2019;9.822497;9.874677;9.450891;9.521595;9.521595;88437694
27/02/2019;9.520861;10.115608;9.435871;9.899132;9.899132;93800328
28/02/2019;9.914662;10.549581;9.894533;10.365178;10.365178;100626963
01/03/2019;10.356931;11.607489;10.325634;11.393217;11.393217;117838677
02/03/2019;11.384693;11.915753;10.960816;11.869744;11.869744;120807894
03/03/2019;11.845305;11.964979;11.352064;11.537903;11.537903;89868246
04/03/2019;11.538013;11.599405;11.070543;11.545945;11.545945;89421231
05/03/2019;11.520388;13.841443;11.520388;13.811967;13.811967;237026335
06/03/2019;13.750288;14.555457;13.112671;14.517946;14.517946;191016822
07/03/2019;14.525312;15.645143;14.444202;15.145886;15.145886;236520320
08/03/2019;15.226148;15.322368;13.761346;14.366936;14.366936;227303083
09/03/2019;14.284603;14.948982;14.105336;14.565879;14.565879;160640089
10/03/2019;14.566903;14.602171;14.073290;14.494439;14.494439;140866074
11/03/2019;14.498401;14.967264;14.217393;14.514414;14.514414;152327295
12/03/2019;14.495936;15.507338;14.324997;15.406131;15.406131;169525508
13/03/2019;15.427578;15.448460;15.097646;15.115124;15.115124;145402739
14/03/2019;15.119261;15.231841;14.748009;15.051104;15.051104;137039682
15/03/2019;15.033138;15.298235;15.009156;15.077102;15.077102;124146334
16/03/2019;15.052109;16.160261;15.021489;16.119011;16.119011;143423670
17/03/2019;16.089241;16.097116;15.682742;15.761146;15.761146;131687083
18/03/2019;15.754995;15.941780;15.404627;15.682012;15.682012;132882167
19/03/2019;15.675785;16.010118;15.413415;15.693595;15.693595;216950178
20/03/2019;15.692178;15.723441;15.178736;15.280023;15.280023;136054765
21/03/2019;15.281807;15.454046;14.338748;14.517393;14.517393;152779939
22/03/2019;14.495111;15.318473;14.392446;15.266424;15.266424;149753510
23/03/2019;15.249810;15.546730;15.103736;15.235995;15.235995;143128548
24/03/2019;15.241132;17.377954;14.915450;17.285357;17.285357;314554203
25/03/2019;17.249006;17.416224;16.216286;16.841007;16.841007;199413830
26/03/2019;16.758650;16.827078;15.778379;16.335665;16.335665;186112032
27/03/2019;16.288694;16.955210;16.049110;16.781343;16.781343;202275822
28/03/2019;16.777079;16.912256;16.610222;16.805330;16.805330;189454288
29/03/2019;16.802631;16.895767;16.453279;16.510141;16.510141;172002338
30/03/2019;16.492199;17.243795;16.066578;16.932213;16.932213;182021376
31/03/2019;16.932213;17.568340;16.772444;17.401670;17.401670;199990283
01/04/2019;17.410639;18.058975;17.291075;17.950502;17.950502;202977286
02/04/2019;17.960625;19.921143;17.691793;19.789783;19.789783;264406306
03/04/2019;19.799784;20.071714;18.429638;18.753063;18.753063;254862222
04/04/2019;18.743467;19.545368;18.447649;19.142689;19.142689;214630296
05/04/2019;19.139215;19.530912;18.941456;19.453466;19.453466;181774781
06/04/2019;19.460411;19.474812;18.892471;19.115629;19.115629;155317547
07/04/2019;19.106430;19.269764;18.908728;19.110271;19.110271;149525473
08/04/2019;19.079069;19.090576;18.073280;18.113703;18.113703;178255322
09/04/2019;18.113703;18.644468;17.320002;18.435053;18.435053;203380139
10/04/2019;18.425514;18.687946;18.117266;18.248579;18.248579;180291307
11/04/2019;18.278069;18.286966;16.589216;17.700480;17.700480;159364357
12/04/2019;17.689150;18.633879;16.809151;18.434271;18.434271;171773154
13/04/2019;18.436537;18.719797;18.150991;18.719797;18.719797;167393154
14/04/2019;18.713379;20.007793;18.532438;19.492020;19.492020;189084742
15/04/2019;19.492020;19.895941;18.888897;19.402426;19.402426;176699111
16/04/2019;19.387169;19.855835;18.793818;19.827456;19.827456;174830782
17/04/2019;19.825439;19.889503;19.425251;19.603350;19.603350;186563033
18/04/2019;19.588575;22.075722;19.536499;22.038479;22.038479;376729341
19/04/2019;22.026449;24.801462;21.316130;24.475281;24.475281;397681147
20/04/2019;24.517479;25.533409;23.959887;25.007528;25.007528;311312466
21/04/2019;24.991802;24.991802;22.789330;24.193829;24.193829;281288778
22/04/2019;24.186974;24.701054;23.398413;23.908110;23.908110;254544860
23/04/2019;23.909674;24.745443;22.689814;22.876261;22.876261;264898474
24/04/2019;22.848101;23.165354;21.407845;23.129068;23.129068;259839247
25/04/2019;23.102085;23.530529;21.540197;22.243107;22.243107;244068802
26/04/2019;22.285395;23.463964;21.644140;22.869429;22.869429;253113255
27/04/2019;22.867357;22.951124;22.258814;22.341587;22.341587;205615716
28/04/2019;22.352484;23.035332;22.301577;22.899340;22.899340;222693167
29/04/2019;22.904093;22.934450;21.319277;21.705067;21.705067;201243334
30/04/2019;21.702774;22.349962;21.428402;22.127836;22.127836;190326179
01/05/2019;22.134750;22.216763;21.636343;21.953621;21.953621;180070221
02/05/2019;21.954395;23.963108;21.834435;23.591930;23.591930;228233321
03/05/2019;23.582506;23.930550;23.130514;23.749628;23.749628;218859579
04/05/2019;23.749628;23.766676;22.545780;22.884832;22.884832;193177736
05/05/2019;22.893597;23.091730;22.643623;23.019953;23.019953;171107466
06/05/2019;23.017311;23.017311;21.619482;22.206635;22.206635;175856220
07/05/2019;22.185858;22.471712;20.661934;20.864180;20.864180;171922295
08/05/2019;20.779163;21.351166;19.797798;20.752676;20.752676;247852849
09/05/2019;20.752676;20.893394;18.660295;18.828356;18.828356;204395709
10/05/2019;18.799280;20.010855;18.467089;19.598108;19.598108;209097573
11/05/2019;19.598108;21.935244;19.084505;21.049442;21.049442;298063616
12/05/2019;21.079224;21.465311;20.330961;20.830297;20.830297;239206084
13/05/2019;20.830297;24.525524;20.752537;23.811028;23.811028;404049210
14/05/2019;23.885628;24.484398;22.935579;23.626419;23.626419;328207185
15/05/2019;23.646799;27.140530;23.607109;26.894939;26.894939;357899657
16/05/2019;26.788618;27.648455;25.449808;26.325806;26.325806;368906500
17/05/2019;26.318087;26.605473;23.489433;25.682571;25.682571;398169924
18/05/2019;25.682571;28.419950;25.277443;28.396793;28.396793;470683583
19/05/2019;28.371433;29.917761;27.156080;29.412844;29.412844;494423260
